ID,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,class10,class11,class12,class13,class14,class15,class16,class17,class18
5fb643ee-bb99-11e8-b2b9-ac1f6b6435d0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5c1a898e-bb99-11e8-b2b9-ac1f6b6435d0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
5e22a522-bb99-11e8-b2b9-ac1f6b6435d0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5f79a114-bb99-11e8-b2b9-ac1f6b6435d0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5c68183e-bb99-11e8-b2b9-ac1f6b6435d0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5dd74816-bb99-11e8-b2b9-ac1f6b6435d0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5c801c04-bb99-11e8-b2b9-ac1f6b6435d0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5e9afd56-bb99-11e8-b2b9-ac1f6b6435d0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5f1af6b4-bb99-11e8-b2b9-ac1f6b6435d0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5ffaea8a-bb99-11e8-b2b9-ac1f6b6435d0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5fb9edb4-bb99-11e8-b2b9-ac1f6b6435d0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
60bfc742-bb99-11e8-b2b9-ac1f6b6435d0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5f005cfa-bb99-11e8-b2b9-ac1f6b6435d0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
636e164c-bb99-11e8-b2b9-ac1f6b6435d0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5b99d3e8-bb99-11e8-b2b9-ac1f6b6435d0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
61ef3044-bb99-11e8-b2b9-ac1f6b6435d0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
5b88d5e8-bb99-11e8-b2b9-ac1f6b6435d0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6388d7d4-bb99-11e8-b2b9-ac1f6b6435d0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
64ab5506-bb99-11e8-b2b9-ac1f6b6435d0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66552404-bb99-11e8-b2b9-ac1f6b6435d0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
670096d6-bb99-11e8-b2b9-ac1f6b6435d0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6843322e-bb99-11e8-b2b9-ac1f6b6435d0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6c3b163a-bb99-11e8-b2b9-ac1f6b6435d0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
68ad8444-bb99-11e8-b2b9-ac1f6b6435d0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6a87e840-bb99-11e8-b2b9-ac1f6b6435d0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6a959c74-bb99-11e8-b2b9-ac1f6b6435d0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6a70893e-bb99-11e8-b2b9-ac1f6b6435d0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6d856b08-bb99-11e8-b2b9-ac1f6b6435d0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6afe63b2-bb99-11e8-b2b9-ac1f6b6435d0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6f2690b8-bb99-11e8-b2b9-ac1f6b6435d0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
739453ba-bb99-11e8-b2b9-ac1f6b6435d0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6f9cfc08-bb99-11e8-b2b9-ac1f6b6435d0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
6fa7b67a-bb99-11e8-b2b9-ac1f6b6435d0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
707bfaa2-bb99-11e8-b2b9-ac1f6b6435d0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
71c6077c-bb99-11e8-b2b9-ac1f6b6435d0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
75dd487a-bb99-11e8-b2b9-ac1f6b6435d0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
730301da-bb99-11e8-b2b9-ac1f6b6435d0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
7465a65e-bb99-11e8-b2b9-ac1f6b6435d0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
77d512f2-bb99-11e8-b2b9-ac1f6b6435d0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
744fabec-bb99-11e8-b2b9-ac1f6b6435d0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
7318293e-bb99-11e8-b2b9-ac1f6b6435d0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
75318382-bb99-11e8-b2b9-ac1f6b6435d0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
75f53b88-bb99-11e8-b2b9-ac1f6b6435d0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
74f318f4-bb99-11e8-b2b9-ac1f6b6435d0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77aa841a-bb99-11e8-b2b9-ac1f6b6435d0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
781a9322-bb99-11e8-b2b9-ac1f6b6435d0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7945e594-bb99-11e8-b2b9-ac1f6b6435d0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
79fbbd42-bb99-11e8-b2b9-ac1f6b6435d0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7ac2e9ee-bb99-11e8-b2b9-ac1f6b6435d0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7ac4f306-bb99-11e8-b2b9-ac1f6b6435d0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7c261068-bb99-11e8-b2b9-ac1f6b6435d0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7e093ad6-bb99-11e8-b2b9-ac1f6b6435d0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7d24862a-bb99-11e8-b2b9-ac1f6b6435d0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7ffe149c-bb99-11e8-b2b9-ac1f6b6435d0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7f836864-bb99-11e8-b2b9-ac1f6b6435d0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
82eda686-bb99-11e8-b2b9-ac1f6b6435d0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
8080a61e-bb99-11e8-b2b9-ac1f6b6435d0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
80493eb8-bb99-11e8-b2b9-ac1f6b6435d0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
82afcef6-bb99-11e8-b2b9-ac1f6b6435d0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83079b9a-bb99-11e8-b2b9-ac1f6b6435d0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84951c26-bb99-11e8-b2b9-ac1f6b6435d0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83a65b72-bb99-11e8-b2b9-ac1f6b6435d0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8662db24-bb99-11e8-b2b9-ac1f6b6435d0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
858d1c1e-bb99-11e8-b2b9-ac1f6b6435d0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
857642c8-bb99-11e8-b2b9-ac1f6b6435d0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88ba0fb4-bb99-11e8-b2b9-ac1f6b6435d0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8814af42-bb99-11e8-b2b9-ac1f6b6435d0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
86f02178-bb99-11e8-b2b9-ac1f6b6435d0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
893bdfb2-bb99-11e8-b2b9-ac1f6b6435d0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
8888916e-bb99-11e8-b2b9-ac1f6b6435d0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89922d36-bb99-11e8-b2b9-ac1f6b6435d0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
89fe0326-bb99-11e8-b2b9-ac1f6b6435d0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8cdd3b0c-bb99-11e8-b2b9-ac1f6b6435d0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
